20260908
"Ranking" "Birthday" "Fortune" "Number of Attempts"
117 0823 a_bit_lucky 273
118 0628 a_bit_lucky 274
119 0613 a_bit_lucky 276
120 0521 a_bit_lucky 280
121 0517 a_bit_lucky 293
122 1212 a_bit_lucky 294
123 1103 a_bit_lucky 295
124 0304 a_bit_lucky 297
125 0721 a_bit_lucky 299
126 0410 a_bit_lucky 301
126 0414 a_bit_lucky 301
128 1201 a_bit_lucky 303
129 0406 a_bit_lucky 304
130 0119 ordinal 312
131 1121 ordinal 318
132 0507 ordinal 322
133 1230 ordinal 325
134 0416 ordinal 326
135 1029 ordinal 335
136 0727 ordinal 337
137 0211 ordinal 339
138 0305 ordinal 352
139 0302 ordinal 354
139 0307 ordinal 354
141 0820 ordinal 356
142 0111 ordinal 357
142 0130 ordinal 357
142 1106 ordinal 357
145 0109 ordinal 362
146 1017 ordinal 364
146 1109 ordinal 364
148 0609 ordinal 366
149 0607 ordinal 367
150 0714 ordinal 368
151 0112 ordinal 371
152 0224 ordinal 373
153 1208 ordinal 374
154 1024 ordinal 381
155 1228 ordinal 384
156 0207 ordinal 407
156 1115 ordinal 407
158 1226 ordinal 414
159 0711 ordinal 419
160 0501 ordinal 420
161 0428 ordinal 422
162 1223 ordinal 424
163 0320 ordinal 427
164 0615 ordinal 428
165 0220 ordinal 438
166 1220 ordinal 441
167 0103 ordinal 449
168 0326 ordinal 462
169 0325 ordinal 466
170 0913 ordinal 480
170 0917 ordinal 480
172 0229 ordinal 481
173 1118 ordinal 483
174 0327 ordinal 485
175 0114 ordinal 487
176 0606 ordinal 488
177 1219 ordinal 489
178 1028 ordinal 496
179 0223 ordinal 508
180 0831 ordinal 510
181 0719 ordinal 511
182 0403 ordinal 520
183 1018 ordinal 529
184 0901 ordinal 530
185 0821 ordinal 534
186 0318 ordinal 535
187 0915 ordinal 538
187 1020 ordinal 538
189 0118 ordinal 539
190 0420 ordinal 541
191 0116 ordinal 543
191 0401 ordinal 543
193 1117 ordinal 553
194 0429 ordinal 554
194 1105 ordinal 554
196 1004 ordinal 559
197 0605 ordinal 562
198 0422 ordinal 566
199 0828 ordinal 567
200 0618 ordinal 570
201 0805 ordinal 571
202 0102 ordinal 597
203 0509 ordinal 600
204 0811 ordinal 606
205 0210 ordinal 608
205 0905 ordinal 608
207 1221 ordinal 617
208 1122 ordinal 630
209 0923 ordinal 639
210 0830 ordinal 643
211 1125 ordinal 648
212 0113 ordinal 654
213 0525 ordinal 659
214 0916 ordinal 661
215 0123 ordinal 672
216 0404 ordinal 675
217 1022 ordinal 681
218 0526 ordinal 695
219 0226 ordinal 696
219 0623 ordinal 696
221 0504 ordinal 700
222 0213 ordinal 706
223 1001 ordinal 707
224 0902 ordinal 708
225 0814 ordinal 709
226 1206 ordinal 716
227 0621 ordinal 720
228 1114 ordinal 721
229 0216 ordinal 722
229 0324 ordinal 722
231 1231 ordinal 725
232 0523 ordinal 730
233 0829 ordinal 734
234 0528 ordinal 736
235 1123 ordinal 743
236 0514 ordinal 747
237 0808 ordinal 752
238 0524 ordinal 753
239 0218 a_bit_unlucky 780
240 1203 a_bit_unlucky 784
241 0616 a_bit_unlucky 790
242 0908 a_bit_unlucky 791
243 0910 a_bit_unlucky 800
243 1008 a_bit_unlucky 800
245 0815 a_bit_unlucky 806
246 0411 a_bit_unlucky 808
247 1211 a_bit_unlucky 822
248 0425 a_bit_unlucky 824
249 0212 a_bit_unlucky 828
249 0925 a_bit_unlucky 828
251 0825 a_bit_unlucky 835
252 0409 a_bit_unlucky 839
253 1021 a_bit_unlucky 841
254 1011 a_bit_unlucky 845
255 1009 a_bit_unlucky 860
256 0717 a_bit_unlucky 862
257 0407 a_bit_unlucky 876
258 0330 a_bit_unlucky 889
259 0909 a_bit_unlucky 892
260 0502 a_bit_unlucky 898
260 1126 a_bit_unlucky 898
262 1010 a_bit_unlucky 904
263 0612 a_bit_unlucky 918
264 0219 a_bit_unlucky 932
265 1129 a_bit_unlucky 937
266 0630 a_bit_unlucky 960
267 1007 a_bit_unlucky 993
268 1225 a_bit_unlucky 1005
269 1213 a_bit_unlucky 1007
270 0817 a_bit_unlucky 1010
271 0813 a_bit_unlucky 1016
272 1214 a_bit_unlucky 1020
273 0329 a_bit_unlucky 1030
274 0812 a_bit_unlucky 1033
275 0322 a_bit_unlucky 1052
276 0418 a_bit_unlucky 1062
277 0515 a_bit_unlucky 1066
278 0120 a_bit_unlucky 1073
279 0927 a_bit_unlucky 1075
280 0107 a_bit_unlucky 1082
281 0531 a_bit_unlucky 1087
282 0702 a_bit_unlucky 1093
283 0710 a_bit_unlucky 1117
284 1216 a_bit_unlucky 1130
285 0929 a_bit_unlucky 1134
286 0919 a_bit_unlucky 1137
287 0408 a_bit_unlucky 1138
288 0301 a_bit_unlucky 1139
289 0308 a_bit_unlucky 1140
290 0924 a_bit_unlucky 1152
291 0819 unlucky 1165
292 0522 unlucky 1176
293 0319 unlucky 1200
294 0604 unlucky 1208
295 0520 unlucky 1209
296 0810 unlucky 1238
297 1127 unlucky 1250
298 0202 unlucky 1254
299 0920 unlucky 1270
300 0519 unlucky 1285
301 0602 unlucky 1308
301 1025 unlucky 1308
303 0625 unlucky 1327
304 1113 unlucky 1344
305 1111 unlucky 1353
306 0311 unlucky 1359
307 0309 unlucky 1361
308 0117 unlucky 1379
309 0115 unlucky 1390
310 0807 unlucky 1392
311 1026 unlucky 1429
312 0303 unlucky 1440
312 1215 unlucky 1440
314 0704 unlucky 1444
315 0405 unlucky 1457
316 0718 unlucky 1475
317 0506 unlucky 1482
318 1023 unlucky 1499
319 0306 unlucky 1505
320 0312 unlucky 1507
321 0321 unlucky 1510
322 0724 unlucky 1511
323 0209 unlucky 1513
323 0725 unlucky 1513
325 0713 unlucky 1547
326 0629 unlucky 1564
327 0926 unlucky 1574
328 1030 unlucky 1587
329 0803 unlucky 1620
330 0510 unlucky 1630
330 1217 unlucky 1630
332 0709 unlucky 1675
333 0731 unlucky 1686
334 0708 unlucky 1696
335 0412 unlucky 1699
336 1016 unlucky 1742
337 1102 unlucky 1767
338 0402 unlucky 1791
339 0122 unlucky 1806
340 0723 unlucky 1808
341 0110 unlucky 1868
342 0707 unlucky 1885
343 1224 unlucky 1888
344 0715 unlucky 1976
345 0527 unlucky 1977
346 1205 unlucky 2012
347 1027 unlucky 2013
348 0903 unlucky 2017
349 1031 unlucky 2057
350 1204 unlucky 2143
351 0626 very_unlucky 2220
352 0316 very_unlucky 2232
353 0518 very_unlucky 2290
354 1227 very_unlucky 2302
355 0801 very_unlucky 2406
356 0217 very_unlucky 2563
357 1019 very_unlucky 2764
358 0126 very_unlucky 2768
359 0610 very_unlucky 2781
360 0424 very_unlucky 2935
361 0617 very_unlucky 3052
362 0128 very_unlucky 3175
363 0930 very_unlucky 3327
364 0227 very_unlucky 3565
365 0824 very_unlucky 3729
366 0108 very_unlucky 3800
